Elemento,Bazformo,Statuso,BRO,Oficiala difino,France,Angle,Germane,Pole,Ruse
AJN,ajn,F,BRO1: ajn,,que ce soit; ex. kiu qui ― kiu ajn qui que ce soit,ever; e.g. kiu who ― kiu ajn whoever,"ajn (kiu...) auch nur, auch immer (wer...) AK","kolwiek, bądź; np. kiu kto ― kiu ajn ktokolwiek, ktobądź",бы ни; напр. kiu кто ― kiu ajn кто бы ни
AĴ/,-aĵ-,F,BRO1: -aĵo,,quelque chose possédant une certaine qualité ou fait d’une certaine matière: ex. mol/ mou ― mol/aĵ/ partie molle d’une chose,made from or possessing the quality of; e. g. sek/ dry ― sek/aĵ/ dry goods,"etwas von einer gewissen Eigenschaft, oder aus einem gewissen Stoffe; z. B. mal/nov/ alt ― mal/nov/aĵ/ altes Zeug, frukt/ Frucht ― frukt/aĵ/ etwas aus Früchten bereitetes",oznacza przedmiot posiadajacy pewną własność albo zrobiony z pewnego materjału; np. mal/nov/ stary ― mal/nov/aĵ/ starzyzna; frukt/ owoc ― frukt/aĵ/ coś zrobionego z owoców,нѣчто съ данымъ качествомъ или изъ даннаго матеріала; нпр. mol/ мягкій ― mol/aĵ/ мякишъ; frukt/ плодъ ― frukt/aĵ/ нѣчто приготовленное изъ плодовъ
AKAR/,akar/o,F,,,"acare, mite, ciron AK",mite (insect) AK,Milbe,"kleszcz, ślepak",клещ AK
AKCEL/,akcel/i,F,BRO8: akceli,,"accélérer, hâter AK",accelerate,fördern,"popierać, przyspieszać",споспѣшествовать
AKCENT/,akcent/o,F,BRO9: akcento,,accent,accent (tonic) AK,Accent,akcent,удареніе
AKCEPT/,akcept/i,F,BRO4: akcepti,,"accepter, accueillir AK",accept,annehmen,przyjmować,принимать
AKCIPITR/,akcipitr/o,F,,,autour,hawk,Habicht,jastrząb,ястребъ
AKIR/,akir/i,F,BRO6: akiri,,acquérir,acquire,erwerben,"uzyskać, zdobyć AK",пріобрѣтать
AKN/,akn/o,F,BRO9: akno,,"acné, bouton AK",pimple,Finne,"węgry, krosty",угорь (сыпь)
AKOMPAN/,akompan/i,F,BRO6: akompani,,accompagner,accompany,begleiten,towarzyszyć,"сопровождать, акомпанировать AK"
AKR/,akr/a,F,BRO6: akra,,"aigre, piquant, vif, perçant, tranchant AK",sharp,scharf,ostry,острый
AKRID/,akrid/o,F,BRO9: akrido,,sauterelle,grass-hopper,Heuschrecke,szarańcza,саранча
AKS/,aks/o,F,BRO9: akso,,axe,axle,Achse,oś,ось
AKTIV/,aktiv/a,F +1OA +7OA,BRO9: aktiva,,actif (gram.),active,"aktiv, tätig",czynny,активный
AKUŜ/,akuŝ/i,F,,,accoucher (intr.) AK,be confined (in childbed) (intr.) AK,"niederkommen, entbunden werden","powić, odbyć połóg AK",разрѣшится отъ бремени
AKUŜ/IST/IN/,akuŝ/ist/in/o,F,,,sage-femme,midwife,Hebamme,akuszerka,акушерка
AKUZATIV/,akuzativ/o,F,,,accusatif,accusative,Accusativ,biernik,винительный падежъ
AKV/,akv/o,F,BRO3: akvo,,eau,water,Wasser,woda,вода
AKV/O/MELON/,akv/o/melon/o,F,,,melon d’eau,water-melon,Wassermelone,arbuz,арбузъ
AL,al,F,BRO1: al,,"à, vers AK",to,zu (ersetzt zugleich den Dativ),do (zastępuje też celownik),къ (замѣняетъ также дательный падежъ)
AL/DON/,al/don/i,F,,,ajouter,add to,"zugeben, beilegen",dodawać,прибавлять
AL/MEZUR/,al/mezur/i,F,,,"essayer, ajuster","try on, fit on, adjust AK",anmessen AK,przymierzać,примѣривать
AL/MILIT/,al/milit/i,F,,,conquérir,conquer,erobern,zawojować,завоевывать
AL/PORT/,al/port/i,F,,,apporter,bring,bringen,przynosić,приносить
AL/TRANĈ/,al/tranĉ/i,F,,,"couper, tailler",cut out,zuschneiden,przykroić,кроить
ALAŬD/,alaŭd/o,F,BRO9: alaŭdo,,alouette,lark,Lerche,skowronek,жаворонокъ
ALCION/,alcion/o,F,,,alcyon,halcyon,Eisvogel,zimorodek,зимородокъ
ALEKSANDR/,Aleksandr/o,F +7OA,,,,,,,
ALFABET/,alfabet/o,F +1OA +7OA,BRO9: alfabeto,,alphabet,alphabet,Alphabet,alfabet,алфавитъ
ALI/,ali/a,F,BRO2: alia,,autre,other,ander,inny,иной
ALK/,alk/o,F,,,élan (zool.) AK,elk,Elennthier,łoś,лось
ALMENAŬ,almenaŭ,F,BRO1: almenaŭ,,"au moins, du moins AK",at least,wenigstens,przynajmniej,по крайней мѣрѣ
ALMOZ/,almoz/o,F,BRO8: almozo,,aumône,alms,Almosen,jałmużna,милостыня
ALN/,aln/o,F,,,"aune (bot.), AK",alder,Erle,olsza,ольха
ALT/,alt/a,F,BRO2: alta,,haut,high,hoch,wysoki,высокій
ALTAR/,altar/o,F,,,autel,altar,Altar,ołtarz,алтарь
ALTE/,alte/o,F,,,althée,marshmallow AK,Eibisch,ślaz,проскурнякъ
ALTERN/,altern/i,F,BRO9: alterni,,alterner,alternate,untereinander abwechseln,zmianiać się kolejno,чередоваться
ALUD/,alud/i,F,BRO9: aludi,,faire allusion,allude,anspielen,napomknąć AK,намекать
ALUMET/,alumet/o,F,BRO7: alumeto,,allumette,match,Zündhölzchen,zapałka,спичка
ALUN/,alun/o,F,,,alun,alum,Alaun,ałun,квасцы
AM/,am/i,F,BRO2: ami,,aimer,love,lieben,"kochać, lubić",любить
AM/IND/UM/,am/ind/um/i,F,,,courtiser,"court, make love",den Hof machen,umizgać się,любезничать
AMAS/,amas/o,F,BRO4: amaso,,"amas, foule","crowd, mass","Haufen, Menge","kupa, tłum","куча, толпа"
AMBAŬ,ambaŭ,F,BRO1: ambaŭ,,"l’un et l’autre, tous deux AK",both,beide,obaj,оба
AMBOS/,ambos/o,F,,,enclume,anvil,Amboss,kowadło,наковальня
AMEL/,amel/o,F,,,amidon,starch,Stärkemehl,krochmal,крахмалъ
AMFIBI/,amfibi/oj,F,,,amphibie,amphibium,Amphibie,płaz,земноводное животное
AMIK/,amik/o,F,BRO2: amiko,,ami,friend,Freund,przyjaciel,друг
AMONIAK/,amoniak/o,F,,,ammoniac,ammoniac,Ammoniak AK,amoniak,нашатырный спиртъ
AMPLEKS/,ampleks/o,F,BRO8: amplekso,,"dimension, étendue AK","extent, size AK","Grösse, Umfang AK",objętość,объемъ
AMUZ/,amuz/i,F,BRO5: amuzi,,amuser,amuse,belustigen,bawić,забавлять
AN/,-an-,F,BRO1: -ano,,"membre, habitant, partisan; ex. regn/ l’état ― regn/an/ citoyen","inhabitant, member; e. g. Nov-Jork New York ― Nov-Jork/an/ New Yorker","Mitglied, Einwohner, Anhänger; z. B. regn/ Staat ― regn/an/ Bürger; Varsovi/an/ Warschauer","członek, mieszkaniec, zwolennik; np. regn/ państwo ― regn/an/ obywatel; Varsovi/an/ Warszawianin","членъ, житель, приверженец; напр. regn/ государство ― regn/an/ гражданинъ; Varsovi/an/ Варшавянинъ"
AN/AR/,an/ar/o,F,,,troupe,troop,"Trupp, Truppe","gromada, trupa",труппа
ANANAS/,ananas/o,F,,,ananas,pine-apple AK,Ananas,ananas,ананасъ
ANAS/,anas/o,F,BRO8: anaso,,canard,duck,Ente,kaczka,утка
ANGIL/,angil/o,F,BRO9: angilo,,anguille,eel,Aal,węgorz,угорь (животное)
ANGL/,angl/o,F +7OA,,,,,,,
ANGUL/,angul/o,F,BRO4: angulo,,"angle, coin AK","corner, angle","Winkel, Ecke AK",kąt,уголъ
ANĜEL/,anĝel/o,F,BRO8: anĝelo,,ange,angel,Engel,anioł,ангелъ
ANIM/,anim/o,F,BRO5: animo,,âme,soul,Seele,dusza,душа
ANIZ/,aniz/o,F,,,anis,anise (arom. plant) AK,Anis,anyż,анисъ
ANKAŬ,ankaŭ,F,BRO1: ankaŭ,,"aussi, encore AK",also,auch,także,также
ANKORAŬ,ankoraŭ,F,BRO1: ankoraŭ,,"encore, jusqu’à présent AK","yet, still",noch,jeszcze,еще
ANKR/,ankr/o,F,,,ancre,anchor,Anker,kotwica,якорь
ANN/,Ann/o,F +7OA,,,,,,,
ANONC/,anonc/i,F,BRO6: anonci,,faire une annonce AK,"announce, advertize AK","anzeigen, ankündigen AK",ogłaszać,объявлять
ANSER/,anser/o,F,BRO9: ansero,,oie,goose,Gans,gęś,гусь
ANSTATAŬ,anstataŭ,F,BRO1: anstataŭ,,au lieu de,instead,"anstatt, statt",zamiast,вмѣсто
ANSTATAŬ/I,anstataŭ/i,F,,,remplacer,replace,ersetzen,zastępować,замѣнять
ANT/,-ant-,F,BRO1: -ant-,,marque le participe présent actif,ending of pres. part. act. in verbs,bezeichnet das Participium pres. act.,oznacza imiesłów czynny czasu teraźniejszego,означаетъ причастіе настоящаго времени дѣйст. залога
ANTAŬ,antaŭ,F,BRO1: antaŭ,,"devant, avant AK",before,vor,przed,предъ
ANTAŬ/TUK/,antaŭ/tuk/o,F,,,"tablier, devantier",apron,Schürze,fartuch,передникъ
ANTAŬ/URB/,antaŭ/urb/o,F,,,faubourg,suburb,Vorstadt,przedmieście,предмѣстье
ANTIKV/,antikv/a,F,,,"antique, ancien AK","ancient, antique AK","alt, altethümlich",starożytny,древній
ANTIMON/,antimon/o,F,,,antimoine,antimony,Antimon,antymon,сурьма
ANTON/,Anton/o,F +7OA,,,,,,,
ANUNCIACI/,anunciaci/o,F,,,Annonciation de la Vierge,Annunciation,Verkündigung Mariä,Zwiastowanie,Благовѣщеніе
APART/,apart/a,F,BRO4: aparta,,"particulier, séparé, spécial AK","separate, special AK","besonder, abgesondert",osobny,особый
APARTEN/,aparten/i,F,BRO6: aparteni,,appartenir,belong,gehören,należeć (do kogo) AK,принадлежать
APENAŬ,apenaŭ,F,BRO1: apenaŭ,,à peine,scarcely,kaum,ledwie,едва
APER/,aper/i,F,BRO4: aperi,,"paraître, apparaître",appear,erscheinen,zjawiać się,являться
APLAŬD/,aplaŭd/i,F,BRO9: aplaŭdi,,applaudir,applaud,Beifall spenden AK,oklaskiwać,"хлопать в ладоши, аплодировать AK"
APOG/,apog/i,F,BRO6: apogi,,appuyer,"lean upon, support (trans.) AK","anlehnen, stützen AK",opierać (o co) AK,опирать
APR/,apr/o,F,BRO9: apro,,sanglier,wild boar,Eber,dzik AK,"кабан, вепрь AK"
APRIL/,April/o,F,BRO5: Aprilo,,Avril,April,April,Kwiecień,Апрѣль
APROB/,aprob/i,F,BRO6: aprobi,,approuver,approve,"billigen, gut heissen",aprobować,одобрять
APUD,apud,F,BRO1: apud,,auprès de,near by,"neben, an, bei AK","przy, obok","возле, подле, около AK"
AR/,-ar-,F,BRO1: -aro,,une réunion de certains objets; ex. arb/ arbre ― arb/ar/ forêt,a collection of objects; e. g. vort/ word ― vort/ar/ dictionary,"Sammlung gewisser Gegenstände; z. B. arb/ Baum ― arb/ar/ Wald; ŝtup/ Stufe ― ŝtup/ar/ Treppe, Leiter","oznacza zbiór danych przedmiotów; np. arb/ drzewo ― arb/ar/ las; ŝtup/ szczebel, stopień ― ŝtup/ar/ drabina, schody","собраніе данныхь предметовъ; напр. arb/ дерево ― arb/ar/ лѣсъ, ŝtup/ ступень ― ŝtup/ar/ лѣстница"
ARANE/,arane/o,F,BRO8: araneo,,araignée,spider,Spinne,pająk,паукъ
ARANĜ/,aranĝ/i,F,BRO5: aranĝi,,arranger,arrange,einrichten,urządzać,устроивать
ARB/,arb/o,F,BRO3: arbo,,arbre,tree,Baum,drzewo,дерево
ARB/ET/AĴ/,arb/et/aĵ/o,F,,,"arbrisseau, buisson","shrub, bush",Strauch,krzak,кустъ
ARBITR/,arbitr/a,F,BRO9: arbitra,,arbitraire,arbitrary,willkürlich,samowolny,произвольный
ARĈ/,arĉ/o,F,,,archet,"bow (Violin, etc.) AK",Fiedelbogen AK,smyczek,смычекъ
ARDE/,arde/o,F,,,héron,heron,Reiher,czapla,цапля
ARDEZ/,ardez/o,F,,,ardoise,slate (substance) AK,Schiefer,łupek,аспидъ (минералъ)
AREN/,aren/o,F,,,arène,arena AK,"Arena, Rennbahn",arena,"арена, ристалище"
AREST/,arest/i,F,,,arrêter,arrest,verhaften,aresztować,арестовать
ARGIL/,argil/o,F,,,argile,clay,Thon,glina,глина
ARGUMENT/,argument/o,F,,,argumenter,argue,"argumentieren, beweisen, Schlüsse ziehen AK",dowodzić,доказывать
ARĜENT/,arĝent/o,F,BRO5: arĝento,,argent (métal),silver,Silber,srebro,серебро
ARĤAISM/,arĥaism/o,F +7OA,,arĥaism/o. Vorto aŭ esprimo ne plu uzata en la komuna lingvo.,,,,,
ARĤITEKTUR/,arĥitektur/o,F,,,architecture,architecture,Architectur,architektura,архитектура
ARK/,ark/o,F,BRO8: arko,,arc,"arch, bow",Bogen,łuk,дуга
ARK/AĴ/,ark/aĵ/o,F,,,voûte,vault,Gewölbe,sklepiente,сводъ
ARLEKEN/,arleken/o,F,,,arlequin,harlequin,Hanswurst,"błazen, arlekin","арлекинъ, шутъ"
ARM/,"armo, arm/i",F,,,armer,to arm AK,rüsten,uzbrajać,вооружать AK
AROGANT/,arogant/a,F,,,arrogant,arrogant,"anmassend, hochmüthig",zarozumiały,"наглый, нахальный AK"
ARSENIK/,arsenik/o,F,,,arsenic,arsenic,Arsenik,arszenik,мышьякъ
ART/,art/o,F,BRO3: arto,,art,art,Kunst,"sztuka, kunszt",искусство
ARTIFIK/,artifik/o,F,,,"artifice, subterfuge AK",artifice,"List, Kniff AK","fortel, sztuka AK",уловка
ARTIK/,artik/o,F,BRO9: artiko,,articulation,joint,Gelenk,staw (anat.) AK,суставъ
ARTIKOL/,artikol/o,F,BRO7: artikolo,,"article (litt., gram.) AK",article,Artikel,artykuł,"статья, членъ"
ARTIŜOK/,artiŝok/o,F,,,artichaut,artichoke,Artischoke,karczoch,артишокъ
ARTRIT/,artrit/o,F,,,goutte,gout,Gicht,artretyzm,подагра AK
-AS,-as,F,BRO1: -as,,marque le présent d’un verbe,ending of the present tense in verbs,bezeichnet das Präsens,oznacza czas teraźniejszy,означаетъ настоящее время глагола
AS/,as/o,F,,,as,ace,Ass (Kartsp.),as,тузъ
ASEKUR/,asekur/i,F,BRO8: asekuri,,assurer (par contrat) AK,insure,versichern AK,asekurować,страховать
ASIGN/,asign/i,F,,,assigner,assign,anweissen,"asygnować, przekazać",ассигновать
ASPARAG/,asparag/o,F,,,asperge,asparagus,Spargel,szparag,спаржа
ASPID/,aspid/o,F,,,aspic,"asp, adder",Natter,żmija,аспидъ (змѣй)
AT/,-at-,F,BRO1: -at-,,marque le participe présent passif,ending of pres. part. pass. in verbs,bezeichnet das Participium praes. passivi,oznacza imiesłów bierny czasu teraźniejszego,означаеть причастіе настоящаго времени страдат. залога
ATAK/,atak/i,F,BRO6: ataki,,attaquer,attack,angreifen,"napadać, atakować",нападать
ATENC/,atenc/i,F,,,attenter,"make an attempt against, assault AK",einen Anschlag (Attentat) machen,robić zamach,покушаться
ATEND/,atend/i,F,BRO3: atendi,,attendre,"wait, expect","warten, erwarten",czekać,"ждать, ожидать"
ATENT/,atent/a,F,BRO4: atenta,,attentif,attentive,aufmerksam,uważny,внимательный
ATEST/,atest/i,F,BRO8: atesti,,témoigner,"attest, testify (certify) AK","zeugen, bezeugen, bescheinigen",świadczyć,свидѣтельствовать
ATING/,ating/i,F,BRO5: atingi,,atteindre,"attain, reach","erlangen, erreichen",dosięgać,достигать
ATRIPL/,atripl/o,F,,,arroche (bot.) AK,orach (bot.) AK,Gänsefuss (Pflanze) AK,łoboda,лебеда
ATUT/,atut/o,F,,,atout,a trump (cards) AK,Trumpf,kozera,козырь
AŬ,aŭ,F,BRO1: aŭ,,ou,or,oder,"albo, lub",или
AŬD/,aŭd/i,F,BRO3: aŭdi,,entendre,hear,hören,słyszeć,слышать
AŬGUST/,Aŭgust/o,F +7OA,BRO5: Aŭgusto,,Août,August,August,Sierpień,Августъ
AŬSKULT/,aŭskult/i,F,BRO4: aŭskulti,,écouter,listen,"anhören, horchen",słuchać,слушать
AŬTOR/,aŭtor/o,F +1OA +7OA,BRO9: aŭtoro,,auteur,author,"Autor, Urheber",autor,авторъ
AŬTORITAT/,aŭtoritat/o,F +1OA +7OA,BRO8: aŭtoritato,,autorité,authority,Autorität,autorytet,авторитетъ
AŬTUN/,aŭtun/o,F,BRO4: aŭtuno,,automne,"autumn, fall AK",Herbst,jesień,осень
AV/,av/o,F,BRO4: avo,,grand-père,grandfather,Grossvater,dziadek AK,"дѣдъ, дѣдушка"
AVAR/,avar/a,F,BRO6: avara,,avare,covetous,geizig,skąpy,скупой
AVEL/,avel/o,F,,,noisette AK,hazel-nut,Haselnuss,orzech laskowy,обыкновенный орѣхъ
AVEN/,aven/o,F,BRO9: aveno,,avoine,oats,Hafer,owies,овесъ
AVENTUR/,aventur/o,F,BRO7: aventuro,,aventure,adventure,Abenteuer,przygoda,приключеніе
AVERT/,avert/i,F,BRO6: averti,,"avertir, prévenir, détourner AK",warn,warnen,przestrzegać,предостерегать
AVID/,avid/a,F,BRO8: avida,,avide AK,"greedy, eager AK",gierig,chciwy,жадный
AVIZ/,aviz/o,F,,,avis,advice,"Ankündigung, Anzeige AK",awizacya,увѣдомленіе
AZEN/,azen/o,F,BRO5: azeno,,âne,ass,Esel,osioł,оселъ
AZOT/,azot/o,F,,,azote,"nitrogen, azote AK",Stickstoff,azot,азоть
BABIL/,babil/i,F,BRO7: babili,,babiller,chatter,"schwatzen, plaudern","paplać, gawędzić AK",болтать
BAGATEL/,bagatel/o,F,BRO9: bagatelo,,bagatelle,"trifle, toy",Kleinigkeit,drobnostka,"пустяк, безделица AK"
BAJONET/,bajonet/o,F,,,baïonnette,bayonet,Bajonett,bagnet,штыкъ
BAK/,bak/i,F,BRO8: baki,,(faire) cuire (au four) AK,bake,backen,"piec, wypiekać","печь, испекать"
BAL/,bal/o,F +1OA +7OA,BRO9: balo,,bal,"ball, dancing",Ball (Tanz),bal,балъ
BALA/,bala/i,F,BRO6: balai,,balayer,sweep (vb.) AK,fegen,zamiatać,"мести, заметать"
BALANC/,balanc/i,F,BRO8: balanci,,balancer,"balance, swing",schaukeln,"huśtać, kołysać",качать
BALBUT/,balbut/i,F,BRO9: balbuti,,"bégayer, balbutier",stammer,"stottern, stammeln",jąkać się,заикаться
BALDAKEN/,baldaken/o,F,,,"baldaquin, dais AK",canopy,Baldachin,baldachin,балдахинъ
BALDAŬ,baldaŭ,F,BRO1: baldaŭ,,bientôt,soon,bald,wkrótce AK,"вскоре, скоро AK"
BALEN/,balen/o,F,,,baleine,whale,Wallfisch,wieloryb,китъ
BALEN/OST/,balen/ost/o,F,,,baleine,whale-bone,Fischbein,fiszbin,китовый усъ
BALUSTRAD/,balustrad/o,F,,,"garde-fou, balustrade",balustrade,Geländar,poręcz,перила
BAMBU/,bambu/o,F,BRO9: bambuo,,bambou,bamboo,Bambus,bambus,бамбукъ
BAN/,ban/i,F,BRO5: bani,,baigner (trans.) AK,bath,baden,kąpać,купать
BAND/,band/o,F,,,"bande, troupe",band,"Bande, Rotte","banda, zgraja","банда, шайка"
BANT/,bant/o,F,BRO9: banto,,nœud (de ruban) AK,"knot (of ribbon, etc.) AK",Bandschleife AK,pętlica,бантъ
BAPT/,bapt/i,F,BRO9: bapti,,baptiser,baptise,taufen,chrzcić,крестить
BAPT/AN/,bapt/an/o,F,,,compère,"sponsor, gossip, God-relation AK",Gevatter,kum,кумъ
BAPT/O/FIL/,bapt/o/fil/o,F,,,filleul,god-son,Taufsohn,chrześniak,"крестный сынъ, крестникъ"
BAPT/O/PATR/,bapt/o/patr/o,F,,,parrain,Godfather AK,"Pathe, Taufvater",chrestny ojciec,крестный отецъ
BAR/,bar/o,F,BRO6: baro,,barrer,"bar, obstruct",versperren,zagradzać,заграждать
BAR/IL/,bar/il/o,F,,,haie,barrier AK,Zaum,parkan,заборъ
BARAKT/,barakt/i,F,BRO8: barakti,,"gigoter, se débattre AK","throw oneself about, struggle AK",zappeln,szamotać się AK,барахтаться
BARB/,barb/o,F,BRO6: barbo,,barbe,beard,Bart,broda,борода
BARBIR/,barbir/o,F,BRO9: barbiro,,barbier,barber,Barbier,balwierz AK,"цирюльник, парикмахер AK"
BARĈ/,barĉ/o,F,,,soupe de betteraves,beetroot soup AK,Runkelrübensuppe AK,barszcz,борщъ
BAREL/,barel/o,F,BRO8: barelo,,tonneau,"keg, barrel","Fass, Tonne",beczka,бочка
BARK/,bark/o,F,BRO9: barko,,barque,bark (ship) AK,Barke,barka,барка
BASK/,bask/o,F,BRO9: basko,,"basque (d’habit), pan AK","basque (of bodice, coat, etc.) AK","Schoss, Rockschoss",poła,пола
BAST/,bast/o,F,,,écorce d’arbre,"bast, inner bark (tree) AK",Bast,łyko,"луб, лыко AK"
BASTION/,bastion/o,F,,,bastion,bulwark,Bollwerk,"baszta, warownia",бастіонъ
BASTON/,baston/o,F,BRO6: bastono,,bâton,stick,Stock,"kij, laska",палка
BAT/,bat/i,F,BRO3: bati,,battre,beat,schlagen,bić,бить
BATAL/,batal/i,F,BRO4: batali,,combattre,fight,kämpfen,walczyć,"бороться, сражаться AK"
BATAL/IL/,batal/il/o,F,,,arme,weapon,"Waffe, Wehr AK",broń,оружіе
BAZAR/,bazar/o,F,BRO8: bazaro,,"bazar, marché AK",bazar AK,"Markt, Basar AK","targ, rynek",базаръ
BED/,bed/o,F,,,"couche, platebande AK",bed (garden),Beet,"grzęda, zagon",гряда
BEDAŬR/,bedaŭr/i,F,BRO6: bedaŭri,,regretter,"regret, be sorry AK",bedauern,żałować,жалѣть
BEK/,bek/o,F,BRO6: beko,,bec,beak,Schnabel,dziób,клювъ
BEL/,bel/a,F,BRO2: bela,,beau,beautiful,schön AK,piękny,красивый
BELADON/,beladon/o,F,,,belladonne,"belladonna, deadly nightshade AK",Tollkirsche,"pokrzyk, wilcza jagoda","белладона, сонная одурь AK"
BEN/,ben/i,F,BRO8: beni,,bénir,bless,segnen,błogosławić,благословлять
BENK/,benk/o,F,BRO5: benko,,banc,bench,Bank (zum Sitzen),ławka,скамья
BER/,ber/o,F,BRO7: bero,,baie (bot.) AK,berry,Beere,jagoda,ягода
BERLIN/,Berlin/o,F +7OA,,,,,,,
BERT/,Bert/o,F +7OA,,,,,,,
BEST/,best/o,F,BRO4: besto,,"animal, bête AK","animal, beast AK",Thier,zwierzę,животное
BET/,bet/o,F,BRO9: beto,,betterave,red beet,Runkelrübe,burak AK,свекловица
BETUL/,betul/o,F,BRO8: betulo,,bouleau,birch (tree),Birke,brzoza,береза
BEZON/,bezon/i,F,BRO3: bezoni,,avoir besoin de,"need, want",brauchen,potrzebować,нуждаться
BIEN/,bien/o,F,BRO7: bieno,,"bien, avoir, propriété AK","goods, estate","Gut, Landgut","posiadłość ziemska, majątek",имѣніе
BIER/,bier/o,F,BRO7: biero,,bière,beer,Bier,piwo,пиво
BIND/,bind/i,F,BRO9: bindi,,relier,bind (books),binden (Bücher),oprawiać,переплетать
BIRD/,bird/o,F,BRO3: birdo,,oiseau,bird,Vogel,ptak,птица
BISKVIT/,biskvit/o,F,,,biscuit (pâtisserie) AK,biscuit,Zwieback,sucharek,бисквитъ
