Elemento,Bazformo,Statuso,BRO,Oficiala difino,France,Angle,Germane,Pole,Ruse,Hispane,Itale,Katalune,Portugale
ADICI/,adici/i,2OA,BRO8: adicii,,additionner,to add up,addieren,,,,,,
ADJEKTIV/,adjektiv/o,F,BRO8: adjektivo,,adjectif,adjective,Eigenschaftswort,przymiotnik,имя прилагательное,,,,
ADJUTANT/,adjutant/o,1OA,,,aide de camp,adjutant,Adjutant,adjutant,адъютантъ,,,,
ADMINISTR/,administr/i,F,BRO8: administri,,admininistrer,administer,verwalten,zarządzać,управлять,,,,
ADMINISTRACI/,administraci/o,3OA,,,administration,administration,Administration,,,administración (noto),amministrazione,,administração
ADMIR/,admir/i,F,BRO8: admiri,,admirer,admire,bewundern,podziwiać,"дивиться, изумляться, восхищаться  AK",,,,
ADMIRAL/,admiral/o,1OA,,,amiral,admiral,Admiral,admirał,адмиралъ,,,,
ADMIRALITAT/,admiralitat/o,3OA,,,amirauté,admiralty,Admiralität,,,almirantía (noto),ammiragliato,,almirantado
ADMON/,admon/i,F,BRO8: admoni,,"engager, exhorter  AK",exhort,ermahnen,upominać,увѣщевать,,,,
ADOPT/,adopt/i,1OA,BRO8: adopti,,adopter,adopt,adoptieren,adoptować,усыновлять,,,,
ADOR/,ador/i,F,BRO9: adori,,adorer,adore,anbeten,uwielbiać,обожать,,,,
ADRENALIN/,adrenalin/o,9OA,,"adrenalin/o. Hormono produktata de la surrenaj glandoj kaj sekreciata en la sangon okaze de mensa aŭ korpa premo (danĝero k.s.) por prepari la korpon al urĝa agado, fuĝo, sindefendo k.s.: adrenalino akcelas la koran ritmon kaj altigas la sangopremon. Formulo: C6H3(OH)2-CH(OH)-CH2-NH-CH3.",,,,,,,,,
ADRES/,adres/o,F +1OA +8OA,BRO5: adreso,,adresse (de lettre),address,Adresse,adres,адресъ,,,,
ADULT/,adult/i,F,,,commettre un adultère  AK,commit adultery  AK,ehebrechen,cudzołożyć,прелюбодѣйствовать,,,,
ADVENT/,advent/o,1OA,,,Avent,Advent,Advent,adwent,филипповъ постъ,,,,
ADVERB/,adverb/o,F,BRO9: adverbo,,adverbe,adverb,Unstandswort  AK,przysłówek,нарѣчіе,,,,
ADVOKAT/,advokat/o,1OA,BRO8: advokato,,avocat,"counsel, advocate",Advokat,adwokat,адвокатъ,,,,
AER/,aer/o,F,BRO4: aero,,air,air,Luft,powietrze,воздухъ,,,,
AER/UM/,aer/um/i,F,,,aérer,expose to the air,lüften,przewietrzać,провѣтривать,,,,
AEROLIT/,aerolit/o,1OA,,,aérolithe,aerolite,Luftstein,aerolit,аэролитъ,,,,
AEROPLAN/,aeroplan/o,3OA,,,aéroplane,aeroplan,Flugzeug,,,aeroplano,,,
AFABL/,afabl/a,F,BRO3: afabla,,"affable, aimable  AK",affable,freundlich,uprzejmy,"приветливый, любезный  AK",,,,
AFEKT/,afekt/i,F,,,"affecter, être affecté, minauder  AK","be affected, mince  AK",sich zieren  AK,afektować,"аффектировать, жеманиться, рисоваться  AK",,,,
AFER/,afer/o,F,BRO2: afero,,"affaire (en général), chose  AK",affair,"Sache, Angelegenheit",sprawą rzecz  AK,дѣло,,,,
AFIKS/,afiks/o,1OA,,,affixe,affix,Affix,przyrostek (noto),афиксъ,,,,
AFIŜ/,afiŝ/o,1OA,BRO8: afiŝo,,affiche,"poster, placard",Anschlag (an Säule),afisz,афиша,,,,
AFLIKT/,aflikt/i,3OA,BRO9: aflikti,,affliger,"to distress, grieve, afflict","betrüben, quälen",,,afligir,affliggere,,afligir
AFORISM/,aforism/o,1OA,,,aphorisme,"aphorism, maxim",Aphorismus,aforyzm,афоризмъ,,,,
AFRANK/,afrank/i,1OA,BRO8: afranki,,affranchir,pay the postage,frankieren,frankować,франкировать,,,,
AFRIK/,Afrik/o,8OA,BRO9: Afriko,Afrik/o. La kontinento sude de Eŭropo.,Afrique,Africa,Afrika,,,África (noto),Africa,,Africa
AFUST/,afust/o,1OA,,,affût (de canon),gun-carriage,Lafette,laweta,лафетъ,,,,
AG/,ag/i,F,BRO5: agi,,agir,act,"handeln, verfahren",postępować,поступать,,,,
AGAC/,agac/i,F,,,agacement (des dents)  AK,"setting on edge (teeth, etc.)  AK",Stumpfheit der Zähne  AK,cierpnąć (zęby)  AK,оскомина,,,,
AGAT/,agat/o,1OA,,,agate,agate,Achat,agat,агатъ,,,,
AGENT/,agent/o,1OA,BRO9: agento,,agent,agent,Agent,ajent,агентъ,,,,
AGIT/ (fig.),agit/i,2OA,BRO9: agiti,,,,,,,,,,
AGL/,agl/o,F,BRO7: aglo,,aigle,eagle,Adler,orzeł,орелъ,,,,
AGONI/,agoni/o,1OA,,,agonie,death-agony,"Agonie, Todeskampf",konanie,агонія,,,,
AGORD/,agord/o,F,BRO7: agordo,,"accorder, mettre au diapason (musique)  AK",tune (vb.)  AK,stimmen,nastrajać,настраивать,,,,
AGRABL/,agrabl/a,F,BRO4: agrabla,,agreable,agreeable,angenehm,przyjemny,пріятный,,,,
AGRAF/,agraf/o,1OA,,,agrafe,clasp,Agraffe,"agrafka, haftka",застежка,,,,
AGRES/,agres/i,9OA,,"agres/i. Ataki ne provokite; ataki kiel unua ne estante mem minacata de atako: agresi personon; agresi landon. agres/em/a. Ĉiam preta ataki, aŭ inklina kutime ataki, eĉ ne provokite.",,,,,,,,,
AGRONOM/,agronom/o,7OA,,agronom/o. Agronomiisto.,,,,,,,,,
AGRONOMI/,agronomi/o,1OA,,,agronomie,husbandry,"Feldbaukunde, Agronomie",agronomja,агрономія,,,,
AĜ/,aĝ/o,F,BRO4: aĝo,,âge,age,Alter,wiek,возраст  AK,,,,
AĜI/,aĝi/o,3OA,,,agio,agio,Agio,,,agio,aggio,,agio
AIDOS/,aidos/o,9OA,,"aidos/o. Akirita malsufiĉo de la imunsistemo. Grava malsano, kiu malfortigas la korpajn defendojn kontraŭ ĉiaj malsanoj, plej ofte transdonata per seksaj kontaktoj aŭ infektita sango.",,,,,,,,,
AJL/,ajl/o,F,BRO9: ajlo,,ail,garlic  AK,Knoblauch,czosnek,чеснокъ,,,,
AJN,ajn,F,BRO1: ajn,,que ce soit; ex. kiu qui ― kiu ajn qui que ce soit,ever; e.g. kiu who ― kiu ajn whoever,"ajn (kiu...) auch nur, auch immer (wer...)  AK","kolwiek, bądź; np. kiu kto ― kiu ajn ktokolwiek, ktobądź",бы ни; напр. kiu кто ― kiu ajn кто бы ни,,,,
AĴ/,-aĵ-,F,BRO1: -aĵo,,quelque chose possédant une certaine qualité ou fait d’une certaine matière: ex. mol/ mou ― mol/aĵ/ partie molle d’une chose,made from or possessing the quality of; e. g. sek/ dry ― sek/aĵ/ dry goods,"etwas von einer gewissen Eigenschaft, oder aus einem gewissen Stoffe; z. B. mal/nov/ alt ― mal/nov/aĵ/ altes Zeug, frukt/ Frucht ― frukt/aĵ/ etwas aus Früchten bereitetes",oznacza przedmiot posiadajacy pewną własność albo zrobiony z pewnego materjału; np. mal/nov/ stary ― mal/nov/aĵ/ starzyzna; frukt/ owoc ― frukt/aĵ/ coś zrobionego z owoców,нѣчто съ данымъ качествомъ или изъ даннаго матеріала; нпр. mol/ мягкій ― mol/aĵ/ мякишъ; frukt/ плодъ ― frukt/aĵ/ нѣчто приготовленное изъ плодовъ,,,,
AKACI/,akaci/o,1OA,,,acacia,acacia,Akazie,akacja,акація,,,,
AKADEMI/,akademi/o,1OA,BRO9: akademio,,académie,academy,Akademie,akademja,академія,,,,
AKAPAR/,akapar/i,2OA,,,accaparer,to corner,wucherisch aufkaufen,,,,,,
AKAR/,akar/o,F,,,"acare, mite, ciron  AK",mite (insect)  AK,Milbe,"kleszcz, ślepak",клещ  AK,,,,
AKCEL/,akcel/i,F,BRO8: akceli,,"accélérer, hâter  AK",accelerate,fördern,"popierać, przyspieszać",споспѣшествовать,,,,
AKCENT/,akcent/o,F,BRO9: akcento,,accent,accent (tonic)  AK,Accent,akcent,удареніе,,,,
AKCEPT/,akcept/i,F,BRO4: akcepti,,"accepter, accueillir  AK",accept,annehmen,przyjmować,принимать,,,,
AKCESOR/,akcesor/a,3OA,,,accessoire,accessory,"nebensächlich, dazukommend",,,accesorio (noto),accessorio,,accessorio
AKCI/,akci/o,1OA,BRO9: akcio,,action (finance),share,Aktie,akcja (papier),акція,,,,
AKCIDENT/,akcident/o,2OA,BRO7: akcidento,,accident,accident,"Zufall, Unfall",,,,,,
AKCIPITR/,akcipitr/o,F,,,autour,hawk,Habicht,jastrząb,ястребъ,,,,
AKCIZ/,akciz/o,1OA,,,accise (impôt sur les boissons etc.),excise,Akzise,akcyza,акцизъ,,,,
AKIR/,akir/i,F,BRO6: akiri,,acquérir,acquire,erwerben,"uzyskać, zdobyć  AK",пріобрѣтать,,,,
AKLAM/,aklam/i,3OA,,,acclamer,to acclaim,"zujauchzen, durch Zuruf abstimmen, Beifall zurufen",aklamować (noto),,aclamar,acclamare,,acclamar
AKN/,akn/o,F,BRO9: akno,,"acné, bouton  AK",pimple,Finne,"węgry, krosty",угорь (сыпь),,,,
AKOMPAN/,akompan/i,F,BRO6: akompani,,accompagner,accompany,begleiten,towarzyszyć,"сопровождать, акомпанировать  AK",,,,
AKORD/,akord/o,1OA,BRO9: akordo,,"accord (mus., gram., etc.)",accord,Akkord,akord,"аккордъ (муз.), согласованіе (грамм.)",,,,
AKR/,akr/a,F,BRO6: akra,,"aigre, piquant, vif, perçant, tranchant  AK",sharp,scharf,ostry,острый,,,,
AKRID/,akrid/o,F,BRO9: akrido,,sauterelle,grass-hopper,Heuschrecke,szarańcza,саранча,,,,
AKROBAT/,akrobat/o,2OA,,,,,,,,,,,
AKS/,aks/o,F,BRO9: akso,,axe,axle,Achse,oś,ось,,,,
AKSEL/,aksel/o,4OA,,,aisselle,armpit,Achselhöhle,,,"axila, sobaco",ascella,aixella,sovaco
AKSIOM/,aksiom/o,1OA,,,axiome,axiom,"Axiom, Grundsatz",aksjomat,аксіома,,,,
AKT/,akt/o,1OA,BRO9: akto,,"acte (théâtre, document)","act, deed","Akt (der), Akte (die)",akt,актъ,,,,
AKTIV/,aktiv/a,F +1OA +7OA,BRO9: aktiva,,actif (gram.),active,"aktiv, tätig",czynny,активный,,,,
AKTOR/,aktor/o,1OA,BRO9: aktoro,,acteur,actor,Schauspieler,aktor,актеръ,,,,
AKTUAL/,aktual/a,4OA,BRO9: aktuala,,actuel,"present, of present interest",zeitgemäss,,,actual,"attuale, di attualità",actual,actual
AKUPUNKTUR/,akupunktur/o,9OA,,"akupunktur/o. Kuracmetodo el la tradicia ĉina medicino, kiu konsistas en pikado de difinitaj korpopunktoj per pingloj.",,,,,,,,,
AKURAT/,akurat/a,1OA,BRO8: akurata,,ponctuel,punctual,pünktlich,"akuratny, punktualny",аккуратный,,,,
AKUŜ/,akuŝ/i,F,,,accoucher (intr.)  AK,be confined (in childbed) (intr.)  AK,"niederkommen, entbunden werden","powić, odbyć połóg  AK",разрѣшится отъ бремени,,,,
AKUŜ/IST/IN/,akuŝ/ist/in/o,F,,,sage-femme,midwife,Hebamme,akuszerka,акушерка,,,,
AKUT/,akut/a,2OA,,,aigu,"acute, sharp",akut,,,,,,
AKUZ/,akuz/i,3OA,BRO9: akuzi,,accuser,to accuse,"anklagen, beschuldigen",oskarżać (noto),,acusar,accusare,,accusar
AKUZATIV/,akuzativ/o,F,,,accusatif,accusative,Accusativ,biernik,винительный падежъ,,,,
AKV/,akv/o,F,BRO3: akvo,,eau,water,Wasser,woda,вода,,,,
AKV/O/MELON/,akv/o/melon/o,F,,,melon d’eau,water-melon,Wassermelone,arbuz,арбузъ,,,,
AKVAFORT/ (gravuraĵo),akvafort/o,4OA,,,estampe gravée à l’eau-forte,"etching, aquafortis engraving",radiertes Blatt,,,aguafuerte,acquaforte (incisione ad),aiguafort,aguaforte
AKVAREL/,akvarel/o,1OA,,,aquarelle,"aquarelle, water colours",Aquarell,akwarela,акварель,,,,
AKVARI/,akvari/o,1OA,,,aquarium,aquarium,Aquarium,akwarjum,акварій,,,,
AKVILEGI/,akvilegi/o,2OA,,,ancolie,columbine,Aglei,,,,,,
AL,al,F,BRO1: al,,"à, vers  AK",to,zu (ersetzt zugleich den Dativ),do (zastępuje też celownik),къ (замѣняетъ также дательный падежъ),,,,
AL/DON/,al/don/i,F,,,ajouter,add to,"zugeben, beilegen",dodawać,прибавлять,,,,
AL/MEZUR/,al/mezur/i,F,,,"essayer, ajuster","try on, fit on, adjust  AK",anmessen  AK,przymierzać,примѣривать,,,,
AL/MILIT/,al/milit/i,F,,,conquérir,conquer,erobern,zawojować,завоевывать,,,,
AL/PORT/,al/port/i,F,,,apporter,bring,bringen,przynosić,приносить,,,,
AL/TRANĈ/,al/tranĉ/i,F,,,"couper, tailler",cut out,zuschneiden,przykroić,кроить,,,,
ALABASTR/,alabastr/o,1OA,,,albâtre,alabaster,Alabaster,alabaster,алебастръ,,,,
ALARM/,alarm/o,1OA,BRO9: alarmo,,alarmer,alarm,alarmieren,alarmować,бить тревогу,,,,
ALAŬD/,alaŭd/o,F,BRO9: alaŭdo,,alouette,lark,Lerche,skowronek,жаворонокъ,,,,
ALBAN/,alban/o,8OA,,,,,,,,,,,
ALBIN/,albin/o,4OA,,,albinos,an albino,Albino,,,albino,albino,un albí,albino
ALBUM/,album/o,1OA,BRO8: albumo,,album,album,Album,album,альбомъ,,,,
ALCION/,alcion/o,F,,,alcyon,halcyon,Eisvogel,zimorodek,зимородокъ,,,,
ALD/,ald/o,2OA,,,alto (voix),alto (voice),Altstimme,,,,,,
ALE/,ale/o,1OA,BRO9: aleo,,allée,alley,Allee,aleja,аллея,,,,
ALEGORI/,alegori/o,1OA,,,allégorie,allegory,Allegorie,alegorja,аллегорія,,,,
ALEKSANDR/,Aleksandr/o,F +7OA,,,,,,,,,,,
ALEN/,alen/o,4OA,,,alène,awl,Ahle,,,lesna,lesina,alena,sovela
ALERGI/,alergi/o,9OA,,"alergi/o. Malsano kaŭzita de forta reago de la imunsistemo kontraŭ substancoj, kiuj normale estas sendanĝeraj, ekzemple manĝaĵoj, poleno, polvo k.s.",,,,,,,,,
ALFABET/,alfabet/o,F +1OA +7OA,BRO9: alfabeto,,alphabet,alphabet,Alphabet,alfabet,алфавитъ,,,,
ALG/,alg/o,2OA,BRO9: algo,,,,,,,,,,
ALGEBR/,algebr/o,1OA,,,algèbre,algebra,Algebra,algiebra,алгебра,,,,
ALGORITM/,algoritm/o,9OA,,"algoritm/o (en matematiko, komputado k.s.) Aro da precizaj reguloj aŭ preciza priskribo de la agoj farendaj por solvi problemon aŭ atingi celon: algoritmo de obligado; la Eŭklida algoritmo; prezenti algoritmon per komputila programo.",,,,,,,,,
ALĜERI/,Alĝeri/o,8OA,,,,,,,,,,,
ALĤEMI/,alĥemi/o,2OA,,,,,,,,,,,
ALI/,ali/a,F,BRO2: alia,,autre,other,ander,inny,иной,,,,
ALIBI/,alibi/o,2OA,,,,,,,,,,,
ALIGATOR/,aligator/o,1OA,,,alligator,alligator,Alligator,aligator,аллигаторъ,,,,
ALINE/,aline/o,2OA,,,alinéa,break (print),Absatz (im Schriftw.),,,,,,
ALK/,alk/o,F,,,élan (zool.)  AK,elk,Elennthier,łoś,лось,,,,
ALKEMI/,alkemi/o,8OA,,alkemi/o. Moderna formo de: alĥemio.,alchimie,alchemy,Alchimie,,,alquimia,alchimia,,alquimia
ALKOHOL/,alkohol/o,1OA,BRO8: alkoholo,,alcool,alcohol,Alkohol,alkohol,алкоголь,,,,
ALKOV/,alkov/o,1OA,,,alcôve,alcove,Alkoven,alkowa,альковъ,,,,
ALMANAK/,almanak/o,1OA,,,almanach,almanack,Almanach,kalendarz,альманахъ,,,,
ALMENAŬ,almenaŭ,F,BRO1: almenaŭ,,"au moins, du moins  AK",at least,wenigstens,przynajmniej,по крайней мѣрѣ,,,,
ALMOZ/,almoz/o,F,BRO8: almozo,,aumône,alms,Almosen,jałmużna,милостыня,,,,
ALN/,aln/o,F,,,"aune (bot.),  AK",alder,Erle,olsza,ольха,,,,
ALO/,alo/o,4OA,,,aloès (bot.),aloe,Aloe (Pflanze),,,áloe,aloe,àloe (noto),aloes
ALT/,alt/a,F,BRO2: alta,,haut,high,hoch,wysoki,высокій,,,,
ALTAR/,altar/o,F,,,autel,altar,Altar,ołtarz,алтарь,,,,
ALTE/,alte/o,F,,,althée,marshmallow  AK,Eibisch,ślaz,проскурнякъ,,,,
ALTERN/,altern/i,F,BRO9: alterni,,alterner,alternate,untereinander abwechseln,zmianiać się kolejno,чередоваться,,,,
ALTERNATIV/,alternativ/o,2OA,,,,,,,,,,,
ALUD/,alud/i,F,BRO9: aludi,,faire allusion,allude,anspielen,napomknąć  AK,намекать,,,,
ALUMET/,alumet/o,F,BRO7: alumeto,,allumette,match,Zündhölzchen,zapałka,спичка,,,,
ALUMINI/,alumini/o,4OA,BRO9: aluminio,,aluminium,aluminium,Aluminium,,,aluminio,alluminio,alumini,aluminio
ALUN/,alun/o,F,,,alun,alum,Alaun,ałun,квасцы,,,,
AM/,am/i,F,BRO2: ami,,aimer,love,lieben,"kochać, lubić",любить,,,,
AM/IND/UM/,am/ind/um/i,F,,,courtiser,"court, make love",den Hof machen,umizgać się,любезничать,,,,
AMAR/,amar/a,4OA,BRO9: amara,,amer,bitter,bitter,,,amargo,amaro,amargant,amargo
AMAS/,amas/o,F,BRO4: amaso,,"amas, foule","crowd, mass","Haufen, Menge","kupa, tłum","куча, толпа",,,,
AMATOR/,amator/o,8OA,BRO9: amatoro,"amator/o. Neprofesiulo, kiu amas kaj praktikas ian aktivecon sportan, artan, sciencan...",amateur,amateur,Liebhaber (einer Sache),,,"aficionado, (amateur)","amatore, cultore",,"amador, curioso"
AMBASAD/,ambasad/o,8OA,BRO9: ambasado,"ambasad/o. Ambasadoro kun ties sekvantaro, konsilantaro ktp.",ambassade,embassy,Botschaft (diplomatisches Amt),,,embajada,ambasciata,,embaixada
AMBASADOR/,ambasador/o,1OA,BRO9: ambasadoro,,ambassadeur,ambassador,Gesandter,ambasador,посланникъ,,,,
AMBAŬ,ambaŭ,F,BRO1: ambaŭ,,"l’un et l’autre, tous deux  AK",both,beide,obaj,оба,,,,
AMBICI/,ambici/o,1OA,,,ambition,ambition,Ehrgeiz,ambicja,честолюбіе,,,,
AMBOS/,ambos/o,F,,,enclume,anvil,Amboss,kowadło,наковальня,,,,
AMBR/,ambr/o,1OA,,,ambre,ambergris,Ambra,ambra,амбра,,,,
AMBROZI/,ambrozi/o,1OA,,,ambroisie,ambrosia,Ambrosia,ambrozja,амврозія,,,,
AMBULANC/,ambulanc/o,1OA,,,ambulance,ambulance,Ambulanz,ambulans,подвижной лазаретъ,,,,
AMEB/,ameb/o,9OA,,"ameb/o. Unuĉela vivulo, sin movanta per ŝajnpiedoj (loboj aŭ fadenoj de ĉelinterna substanco), vivanta en akvo, malseka tero aŭ parazite en bestoj aŭ homoj, ofte ŝanĝanta sian formon. (Amoeba, Entamoeba k.a. parencaj genroj.)",,,,,,,,,
AMEL/,amel/o,F,,,amidon,starch,Stärkemehl,krochmal,крахмалъ,,,,
AMEND/,amend/i,9OA,,"amend/i. Ŝanĝi parton de leĝo, rezolucio aŭ simila teksto per formala proceduro: amendi leĝoproponon; amendi rezolucion. amend/o. Ago amendi kaj ties rezulto (tekstoparto amende ŝanĝita aŭ aldonita).",,,,,,,,,
AMERIK/,Amerik/o,8OA,BRO9: Ameriko,"Amerik/o. La kontinento inter Atlantiko kaj Pacifiko, konsistanta el tri partoj: Norda, Centra kaj Suda Amerikoj.",Amérique,America,Amerika,,,América,America,,America
AMETIST/,ametist/o,2OA,,,,,,,,,,,
AMFIBI/,amfibi/oj,F,,,amphibie,amphibium,Amphibie,płaz,земноводное животное,,,,
AMFITEATR/,amfiteatr/o,2OA,,,,,,,,,,,
AMFOR/,amfor/o,1OA,,,amphore,amphora,Amphore,amfora,амфора,,,,
AMIK/,amik/o,F,BRO2: amiko,,ami,friend,Freund,przyjaciel,друг,,,,
AMNESTI/,amnesti/o,1OA,,,amnistie,amnesty,Amnestie,amnestja,амнистія,,,,
AMONIAK/,amoniak/o,F,,,ammoniac,ammoniac,Ammoniak  AK,amoniak,нашатырный спиртъ,,,,
AMOR/,Amor-o,4OA,,,"(myth.) dieu de l’Amour, Cupidon, Eros","God of Love, Cupid","Liebesgott, Amor",,,"Amor (mit.), Cupido","amore, Cupido",Cupido (noto),Amor
AMORTIZ/,amortiz/i,2OA,,,,,,,,,,,
AMPLEKS/,ampleks/o,F,BRO8: amplekso,,"dimension, étendue  AK","extent, size  AK","Grösse, Umfang  AK",objętość,объемъ,,,,
AMPOL/,ampol/o,8OA,BRO9: ampolo,"ampol/o. Eta vazo, ordinare el vitro, uzata interalie a) en kemia laboratorio, b) por hermete enteni medikamentojn, c) por envakue enteni la filamentojn de elektra lampo.","ampoule, fiole","phial, ampoule, bulb","Phiole, Kolben (chem. Glasgefäss), Ampulle, Glühbirne",,,"ampolla, bombilla, pipeta, redoma","ampolla, fiala, fialetta, bulbo",,ampola
AMPUT/,amput/i,1OA,,,amputer,amputate,amputieren,amputować,ампутировать,,,,
AMULET/,amulet/o,2OA,,,,,,,,,,,
AMUZ/,amuz/i,F,BRO5: amuzi,,amuser,amuse,belustigen,bawić,забавлять,,,,
AN/,-an-,F,BRO1: -ano,,"membre, habitant, partisan; ex. regn/ l’état ― regn/an/ citoyen","inhabitant, member; e. g. Nov-Jork New York ― Nov-Jork/an/ New Yorker","Mitglied, Einwohner, Anhänger; z. B. regn/ Staat ― regn/an/ Bürger; Varsovi/an/ Warschauer","członek, mieszkaniec, zwolennik; np. regn/ państwo ― regn/an/ obywatel; Varsovi/an/ Warszawianin","членъ, житель, приверженец; напр. regn/ государство ― regn/an/ гражданинъ; Varsovi/an/ Варшавянинъ",,,,
AN/AR/,an/ar/o,F,,,troupe,troop,"Trupp, Truppe","gromada, trupa",труппа,,,,
ANAGAL/,anagal/o,2OA,,,mouron (rouge),scarlet pimpernel,Gauchheil (rotes),,,,,,
ANAGRAM/,anagram/o,2OA,,,,,,,,,,,
ANAKRONISM/,anakronism/o,2OA,,,,,,,,,,,
ANALIZ/,analiz/i,1OA,,,analyser,analyse,"zergliedern, analysieren",analizować,анализировать,,,,
ANALOG/,analog/a,1923 +7OA,,,,,,,,,,,
ANANAS/,ananas/o,F,,,ananas,pine-apple  AK,Ananas,ananas,ананасъ,,,,
ANAPEST/,anapest/o,2OA,,,,,,,,,,,
ANARĤI/,anarĥi/o,3OA,,,anarchie,anarchy,Anarchie,,,anarquía (noto),anarchia,,anarchia
ANARKI/,anarki/o,3OA,,,anarchie,anarchy,Anarchie,,,anarquía (noto),anarchia,,anarchia
ANAS/,anas/o,F,BRO8: anaso,,canard,duck,Ente,kaczka,утка,,,,
ANATOMI/,anatomi/o,1OA,,,anatomie,anatomy,Anatomie,anatomja,анатомія,,,,
ANĈ/,anĉ/o,9OA,,"anĉ/o. Maldika elasta langeto, kies vibrado kreas la tonojn ĉe kelkaj instrumentoj, ekz. hobojo, klarneto kaj saksofono.",,,,,,,,,
